U,V,Service
65009,65071,3
65071,65079,3
65079,65151,3
65151,65159,3
65159,65161,3
65161,65169,3
65169,65171,3
65171,65179,3
65179,65191,3
65191,65199,3
65199,65221,3
65221,65229,3
65229,65231,3
65231,65239,3
65239,65261,3
65261,65269,3
65269,65271,3
65271,65279,3
65279,65281,3
65281,65289,3
65009,65071,34
65071,65079,34
65079,65081,34
65081,65089,34
65089,65191,34
65191,65199,34
65199,65221,34
65221,65229,34
65009,65141,43
65141,65149,43
65149,65259,43
65259,65401,43
65401,65409,43
65409,65431,43
65431,65439,43
65009,65181,50
65181,65189,50
65189,65231,50
65231,65239,50
65239,65301,50
65301,65309,50
65309,65311,50
65311,65319,50
65319,65321,50
65321,65329,50
65329,65351,50
65351,65359,50
65359,65521,50
65521,65529,50
65009,65151,62
65151,65159,62
65159,65161,62
65161,65169,62
65169,65171,62
65171,65179,62
65179,65201,62
65201,65209,62
65209,65521,62
65521,65529,62
65009,65011,82
65011,65019,82
65019,65021,82
65021,65029,82
65029,65031,82
65031,65039,82
65039,65041,82
65041,65049,82
65049,65059,82
65059,65061,82
65061,65069,82
65069,65071,82
65071,65079,82
65079,65201,82
65201,65209,82
65009,65061,83
65061,65069,83
65069,65071,83
65071,65079,83
65079,65151,83
65151,65159,83
65159,65161,83
65161,65169,83
65169,65171,83
65171,65179,83
65179,65221,83
65221,65229,83
65229,65231,83
65231,65239,83
65239,65261,83
65261,65269,83
65269,65271,83
65271,65279,83
65279,65281,83
65281,65289,83
65009,65091,84
65091,65099,84
65099,65121,84
65121,65129,84
65129,65139,84
65139,65221,84
65221,65229,84
65229,65461,84
65461,65469,84
65469,65481,84
65481,65489,84
65489,65611,84
65611,65619,84
65619,65621,84
65621,65629,84
65629,65631,84
65631,65639,84
65009,65221,85
65221,65229,85
65229,65231,85
65231,65239,85
65239,65261,85
65261,65269,85
65269,65271,85
65271,65279,85
65279,65281,85
65281,65289,85
65289,65521,85
65521,65529,85
65009,65141,117
65141,65149,117
65149,65259,117
65259,65401,117
65401,65409,117
65409,65431,117
65431,65439,117
65009,65141,118
65141,65149,118
65149,65191,118
65191,65199,118
65199,65259,118
65259,65401,118
65401,65409,118
65409,65431,118
65431,65439,118
65009,65011,119
65011,65019,119
65019,65331,119
65331,65339,119
65339,65341,119
65341,65349,119
65349,65431,119
65431,65439,119
65009,65059,136
65059,65061,136
65061,65069,136
65069,65071,136
65071,65079,136
65079,65151,136
65151,65159,136
65159,65221,136
65221,65229,136
65229,65241,136
65241,65249,136
65249,65281,136
65281,65289,136
65009,65141,381
65141,65149,381
65149,65161,381
65161,65169,381
65169,65171,381
65171,65179,381
65179,65181,381
65181,65189,381
65189,65221,381
65221,65229,381
65229,65231,381
65231,65239,381
65239,65241,381
65241,65249,381
65249,65251,381
65251,65259,381
65259,65281,381
65281,65289,381
65289,65331,381
65331,65339,381
65339,65341,381
65341,65349,381
65349,65401,381
65401,65409,381
65409,65561,381
65561,65569,381
65009,65331,382
65331,65339,382
65339,65341,382
65341,65349,382
65349,65351,382
65351,65359,382
65359,65441,382
65441,65449,382
65449,65451,382
65451,65459,382
65459,65461,382
65461,65469,382
65469,65481,382
65481,65489,382
65489,65491,382
65491,65499,382
65499,65531,382
65531,65539,382
65539,65541,382
65541,65549,382
65549,65551,382
65551,65559,382
65559,65571,382
65571,65579,382
65009,65171,386
65171,65221,386
65221,65229,386
65229,65231,386
65231,65269,386
65269,65281,386
65281,65289,386
65289,65311,386
65311,65319,386
65319,65371,386
65371,65379,386
65379,65381,386
65381,65389,386
65389,65391,386
65391,65399,386
65399,65411,386
65411,65419,386
65419,65429,386
65009,65079,34A
65079,65089,34A
65089,65199,34A
65199,65221,34A
65009,65141,43M
65141,65149,43M
65149,65259,43M
65259,65401,43M
65401,65409,43M
65409,65431,43M
65431,65439,43M
65009,65141,43e
65141,65149,43e
65149,65259,43e
65259,65401,43e
65401,65409,43e
65409,65431,43e
65431,65439,43e
65009,65151,62A
65151,65161,62A
65161,65171,62A
65171,65201,62A
65201,65529,62A
65009,65331,382A
65331,65341,382A
65341,65531,382A
65531,65541,382A
65541,65551,382A
65551,65571,382A
65009,65331,382G
65331,65341,382G
65341,65351,382G
65351,65441,382G
65441,65451,382G
65451,65461,382G
65461,65481,382G
65481,65491,382G
65491,65531,382G
65531,65541,382G
65541,65551,382G
65009,65339,382W
65339,65349,382W
65349,65359,382W
65359,65449,382W
65449,65459,382W
65459,65469,382W
65469,65489,382W
65489,65499,382W
65499,65539,382W
65539,65549,382W
65549,65559,382W
65009,65221,386A
65221,65281,386A
65281,65319,386A
65319,65371,386A
65371,65381,386A
65381,65391,386A
65011,65019,80
65019,65021,80
65021,65029,80
65061,65069,27
65069,65191,27
65191,65199,27
65021,65031,6N
65031,65041,6N
65041,65061,6N
65061,65071,6N
65071,65151,6N
65151,65161,6N
65161,65171,6N
65171,65201,6N
65201,65219,6N
65219,65229,6N
65229,65231,6N
65231,65269,6N
65269,65279,6N
65279,65289,6N
65071,65009,3
65079,65071,3
65151,65079,3
65159,65151,3
65161,65159,3
65169,65161,3
65171,65169,3
65179,65171,3
65191,65179,3
65199,65191,3
65221,65199,3
65229,65221,3
