101A PUNGGOL FIELD,"1.3979874,103.9059670"
101B PUNGGOL FIELD,"1.3977293,103.9064437"
101C PUNGGOL FIELD,"1.3981809,103.9065930"
101D PUNGGOL FIELD,"1.3985575,103.9061667"
102 PUNGGOL FIELD,"1.3986829,103.9058310"
102A PUNGGOL FIELD,"1.3989280,103.9059170"
102B PUNGGOL FIELD,"1.3992070,103.9053410"
102C PUNGGOL FIELD,"1.3988179,103.9050140"
102D PUNGGOL FIELD,"1.3983645,103.9053397"
103 EDGEFIELD PLAINS,"1.3974700,103.9048190"
103A EDGEFIELD PLAINS,"1.3982917,103.9048380"
103B EDGEFIELD PLAINS,"1.3978525,103.9047474"
103C EDGEFIELD PLAINS,"1.3974138,103.9045661"
104A EDGEFIELD PLAINS,"1.3968710,103.9053930"
104B EDGEFIELD PLAINS,"1.3964930,103.9054160"
105 EDGEFIELD PLAINS,"1.3972238,103.9056367"
105A EDGEFIELD PLAINS,"1.3971031,103.9058262"
105B EDGEFIELD PLAINS,"1.3972690,103.9062060"
105C EDGEFIELD PLAINS,"1.3976230,103.9055950"
105D EDGEFIELD PLAINS,"1.3969974,103.9055683"
106 PUNGGOL FIELD,"1.3969570,103.9083813"
106A PUNGGOL FIELD,"1.3966937,103.9085083"
106B PUNGGOL FIELD,"1.3972472,103.9078606"
106C PUNGGOL FIELD,"1.3973920,103.9075484"
106D PUNGGOL FIELD,"1.3975460,103.9072340"
107 PUNGGOL FIELD,"1.3972000,103.9079370"
107A EDGEFIELD PLAINS,"1.3973701,103.9069138"
107B EDGEFIELD PLAINS,"1.3971265,103.9070828"
107C EDGEFIELD PLAINS,"1.3968849,103.9071942"
107D EDGEFIELD PLAINS,"1.3967200,103.9083310"
108 PUNGGOL FIELD,"1.3965780,103.9089960"
109 PUNGGOL FIELD,"1.3951211,103.9096828"
109A EDGEDALE PLAINS,"1.3945366,103.9102307"
109B EDGEDALE PLAINS,"1.3948906,103.9097692"
109C EDGEDALE PLAINS,"1.3951820,103.9092790"
109D EDGEDALE PLAINS,"1.3955100,103.9088850"
110 PUNGGOL FIELD,"1.3960250,103.9093120"
110A PUNGGOL FIELD,"1.3961230,103.9093880"
110B PUNGGOL FIELD,"1.3958620,103.9097610"
110C PUNGGOL FIELD,"1.3955360,103.9101050"
110D PUNGGOL FIELD,"1.3952980,103.9104580"
111 EDGEFIELD PLAINS,"1.3967650,103.9068480"
112 EDGEFIELD PLAINS,"1.3962889,103.9071210"
113 EDGEFIELD PLAINS,"1.3963080,103.9070530"
114 EDGEFIELD PLAINS,"1.3961984,103.9074254"
115 EDGEFIELD PLAINS,"1.3952069,103.9073329"
116 EDGEFIELD PLAINS,"1.3952440,103.9067580"
117 EDGEFIELD PLAINS,"1.3956710,103.9062990"
118 EDGEFIELD PLAINS,"1.3959870,103.9060130"
119 EDGEFIELD PLAINS,"1.3954080,103.9063989"
120 EDGEDALE PLAINS,"1.3941147,103.9082288"
120A EDGEDALE PLAINS,"1.3941872,103.9081417"
120B EDGEDALE PLAINS,"1.3946626,103.9075590"
121 EDGEDALE PLAINS,"1.3938846,103.9085253"
121A EDGEDALE PLAINS,"1.3940373,103.9085682"
121B EDGEDALE PLAINS,"1.3940363,103.9083163"
122 EDGEDALE PLAINS,"1.3940160,103.9090439"
122A EDGEDALE PLAINS,"1.3936471,103.9093692"
122B EDGEDALE PLAINS,"1.3942885,103.9095517"
125 EDGEDALE PLAINS,"1.3940250,103.9114139"
126 EDGEDALE PLAINS,"1.3944776,103.9112226"
126A EDGEDALE PLAINS,"1.3942935,103.9115443"
126B EDGEDALE PLAINS,"1.3942730,103.9111999"
126C EDGEDALE PLAINS,"1.3939970,103.9106879"
126D EDGEDALE PLAINS,"1.3937120,103.9110870"
127 PUNGGOL FIELD WALK,"1.3931550,103.9119870"
128 PUNGGOL FIELD WALK,"1.3929821,103.9125558"
128A PUNGGOL FIELD WALK,"1.3934819,103.9124505"
128B PUNGGOL FIELD WALK,"1.3931866,103.9128130"
128C PUNGGOL FIELD WALK,"1.3926025,103.9124505"
128D PUNGGOL FIELD WALK,"1.3929717,103.9119974"
129 EDGEDALE PLAINS,"1.3931550,103.9103800"
130 EDGEDALE PLAINS,"1.3933720,103.9097910"
131 EDGEDALE PLAINS,"1.3936190,103.9103910"
132 EDGEDALE PLAINS,"1.3932361,103.9109131"
133 EDGEDALE PLAINS,"1.3928390,103.9105060"
134 EDGEDALE PLAINS,"1.3932840,103.9110780"
135 EDGEDALE PLAINS,"1.3921233,103.9098903"
136 EDGEDALE PLAINS,"1.3915930,103.9099190"
137 EDGEDALE PLAINS,"1.3923850,103.9093740"
138 EDGEDALE PLAINS,"1.3933572,103.9097454"
160 PUNGGOL CTRL,"1.3955750,103.9154840"
160A PUNGGOL CTRL,"1.3956609,103.9157132"
160B PUNGGOL CTRL,"1.3953655,103.9160757"
161A PUNGGOL CTRL,"1.3958974,103.9149316"
161B PUNGGOL CTRL,"1.3958567,103.9152405"
162 PUNGGOL CTRL,"1.3961854,103.9138997"
162A PUNGGOL CTRL,"1.3966224,103.9142631"
162B PUNGGOL CTRL,"1.3964003,103.9146256"
163A PUNGGOL CTRL,"1.3957570,103.9149655"
163B PUNGGOL CTRL,"1.3956723,103.9138100"
164 PUNGGOL CTRL,"1.3959122,103.9148815"
165A PUNGGOL CTRL,"1.3952181,103.9147930"
165B PUNGGOL CTRL,"1.3951497,103.9144449"
166 PUNGGOL CTRL,"1.3948678,103.9150367"
166A PUNGGOL CTRL,"1.3947758,103.9156265"
166B PUNGGOL CTRL,"1.3947495,103.9151802"
167 PUNGGOL EAST,"1.3948956,103.9141130"
167A PUNGGOL EAST,"1.3941728,103.9151211"
167B PUNGGOL EAST,"1.3942784,103.9149583"
167C PUNGGOL EAST,"1.3943840,103.9147600"
167D PUNGGOL EAST,"1.3945420,103.9145620"
168 PUNGGOL FIELD,"1.3941746,103.9130396"
168A PUNGGOL EAST,"1.3947053,103.9141739"
168B PUNGGOL EAST,"1.3946643,103.9139151"
168C PUNGGOL FIELD,"1.3938960,103.9137970"
168D PUNGGOL FIELD,"1.3937489,103.9139919"
169 PUNGGOL FIELD,"1.3937020,103.9143850"
169A PUNGGOL FIELD,"1.3935426,103.9146510"
169B PUNGGOL FIELD,"1.3930320,103.9140232"
169C PUNGGOL FIELD,"1.3930320,103.9140232"
170A PUNGGOL FIELD,"1.3935592,103.9148295"
170B PUNGGOL FIELD,"1.3933510,103.9146950"
170C PUNGGOL FIELD,"1.3930943,103.9145290"
170D PUNGGOL EAST,"1.3944570,103.9146130"
171 EDGEDALE PLAINS,"1.3948950,103.9125810"
171A EDGEDALE PLAINS,"1.3945818,103.9123599"
171B EDGEDALE PLAINS,"1.3950550,103.9129120"
171C EDGEDALE PLAINS,"1.3947619,103.9131424"
172 EDGEDALE PLAINS,"1.3955590,103.9118079"
172A EDGEDALE PLAINS,"1.3953196,103.9115443"
172B EDGEDALE PLAINS,"1.3958304,103.9119068"
172C EDGEDALE PLAINS,"1.3954612,103.9123599"
172D EDGEDALE PLAINS,"1.3951080,103.9118840"
173 PUNGGOL FIELD,"1.3972514,103.9093032"
173A PUNGGOL FIELD,"1.3971649,103.9093692"
173B PUNGGOL FIELD,"1.3964880,103.9099050"
173C PUNGGOL FIELD,"1.3962603,103.9106273"
173D PUNGGOL FIELD,"1.3958500,103.9108490"
174 PUNGGOL FIELD,"1.3966130,103.9097750"
174A EDGEDALE PLAINS,"1.3961700,103.9112169"
174B EDGEDALE PLAINS,"1.3965870,103.9109000"
174C EDGEDALE PLAINS,"1.3970576,103.9101631"
174D EDGEDALE PLAINS,"1.3972290,103.9099240"
175 PUNGGOL FIELD,"1.3979027,103.9082484"
175A PUNGGOL FIELD,"1.3973760,103.9089200"
175B PUNGGOL FIELD,"1.3977070,103.9085130"
175C PUNGGOL FIELD,"1.3980701,103.9080165"
175D PUNGGOL FIELD,"1.3982741,103.9077744"
176 EDGEFIELD PLAINS,"1.3980330,103.9091190"
176A EDGEFIELD PLAINS,"1.3990094,103.9083036"
176B EDGEFIELD PLAINS,"1.3984660,103.9085850"
176C EDGEFIELD PLAINS,"1.3986352,103.9086442"
176D EDGEFIELD PLAINS,"1.3977380,103.9094980"
178 EDGEFIELD PLAINS,"1.3993866,103.9087588"
179 EDGEFIELD PLAINS,"1.3990630,103.9086520"
180 EDGEFIELD PLAINS,"1.3986070,103.9093480"
181 EDGEFIELD PLAINS,"1.3992692,103.9091581"
182 EDGEFIELD PLAINS,"1.3990145,103.9094843"
183 EDGEFIELD PLAINS,"1.3987192,103.9097935"
184 EDGEFIELD PLAINS,"1.3981070,103.9097550"
185 EDGEFIELD PLAINS,"1.3977880,103.9100179"
186 PUNGGOL CTRL,"1.3985436,103.9110746"
187 PUNGGOL CTRL,"1.3987060,103.9107790"
188 PUNGGOL CTRL,"1.3993950,103.9106060"
189 PUNGGOL CTRL,"1.3993510,103.9104230"
190 PUNGGOL CTRL,"1.3997238,103.9103904"
191 PUNGGOL CTRL,"1.3999359,103.9100635"
192 PUNGGOL CTRL,"1.3998519,103.9094497"
